unix,date,symbol,open,high,low,close,VolumeBTC,VolumeUSDT,tradecount
1610496000000,2021-01-13 00:00:00,BTC/USDT,34065.53,37880.00,32420.00,37421.07,398188.088,13803091615.05157,3801367
1610409600000,2021-01-12 00:00:00,BTC/USDT,35406.92,36693.44,32600.00,34056.90,449065.693,15590695938.85224,4292644
1610323200000,2021-01-11 00:00:00,BTC/USDT,38200.01,38322.18,30448.00,35408.46,906275.651,30742156595.35393,7483656
1610236800000,2021-01-10 00:00:00,BTC/USDT,40136.05,41412.12,35268.00,38221.67,436759.048,17027093434.55105,3699058
1610150400000,2021-01-09 00:00:00,BTC/USDT,40638.91,41539.88,38733.28,40136.04,260882.805,10520523013.40685,2489926
1610064000000,2021-01-08 00:00:00,BTC/USDT,39498.32,42125.51,36539.77,40637.23,518080.826,20667265854.49486,4247011
1609977600000,2021-01-07 00:00:00,BTC/USDT,36825.77,40565.62,36337.36,39498.92,520147.908,19955559504.79166,3936708
1609891200000,2021-01-06 00:00:00,BTC/USDT,33999.51,37037.51,33356.46,36823.68,444019.830,15515216052.16546,3343780
1609804800000,2021-01-05 00:00:00,BTC/USDT,32029.55,34500.00,29900.00,33999.52,433720.833,13959353458.55198,3077140
1609718400000,2021-01-04 00:00:00,BTC/USDT,33053.93,33653.56,27800.00,32031.07,506128.023,15879195836.25302,3470951
1609632000000,2021-01-03 00:00:00,BTC/USDT,32198.41,34832.25,32000.02,33054.53,487486.989,16389111411.52760,3325307
1609545600000,2021-01-02 00:00:00,BTC/USDT,29337.15,33480.00,28958.24,32199.91,545541.080,17122938614.70610,3514545
1609459200000,2021-01-01 00:00:00,BTC/USDT,28948.19,29668.86,28627.12,29337.16,210716.398,6157505024.08511,1511793
1609372800000,2020-12-31 00:00:00,BTC/USDT,28906.99,29376.70,27848.00,28951.68,313648.835,9030623930.44815,2151517
1609286400000,2020-12-30 00:00:00,BTC/USDT,27402.83,29063.72,27401.00,28906.99,374737.655,10558400366.54597,2363568
1609200000000,2020-12-29 00:00:00,BTC/USDT,27101.45,27441.73,25913.01,27402.83,260759.449,6956813209.79086,1833178
1609113600000,2020-12-28 00:00:00,BTC/USDT,26301.76,27538.82,26117.10,27102.66,267563.468,7224208281.73227,1946973
1609027200000,2020-12-27 00:00:00,BTC/USDT,26508.84,28459.84,25850.00,26305.64,540264.148,14678578951.91622,3325654
1608940800000,2020-12-26 00:00:00,BTC/USDT,24729.99,26926.00,24507.24,26508.83,367265.555,9382122680.48018,2300815
1608854400000,2020-12-25 00:00:00,BTC/USDT,23738.75,24827.64,23450.00,24730.00,284523.431,6874550222.92909,1821407
1608768000000,2020-12-24 00:00:00,BTC/USDT,23237.73,23819.81,22700.00,23737.44,237754.257,5517917922.31023,1532684
1608681600000,2020-12-23 00:00:00,BTC/USDT,23826.74,24235.42,22572.52,23238.27,394754.939,9276578416.54451,2386530
1608595200000,2020-12-22 00:00:00,BTC/USDT,22736.05,23850.00,22387.00,23826.99,326124.313,7526843284.05874,1923785
1608508800000,2020-12-21 00:00:00,BTC/USDT,23472.96,24145.00,21920.00,22730.10,476456.589,11000495257.06996,2612726
1608422400000,2020-12-20 00:00:00,BTC/USDT,23847.28,24376.00,23076.25,23472.96,322289.774,7612660738.46881,1951223
1608336000000,2020-12-19 00:00:00,BTC/USDT,23124.35,24281.61,22735.81,23847.28,337535.438,7938307873.86828,1930474
1608249600000,2020-12-18 00:00:00,BTC/USDT,22816.99,23330.00,22363.94,23124.35,305997.222,7000308998.92912,1812455
1608163200000,2020-12-17 00:00:00,BTC/USDT,21346.81,23888.04,21231.50,22816.99,823435.821,18707295908.07286,4179029
1608076800000,2020-12-16 00:00:00,BTC/USDT,19424.90,21600.00,19274.55,21346.80,459302.012,9357131523.97121,2298208
1607990400000,2020-12-15 00:00:00,BTC/USDT,19270.71,19598.00,19039.64,19424.91,248744.054,4809598929.89016,1313847
1607904000000,2020-12-14 00:00:00,BTC/USDT,19175.06,19355.35,19004.72,19270.70,181555.823,3480597165.14886,1063827
